SpeciesCode,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NHOW,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
NOFL,0,0,0,0,0,1,0,0,3,0,0,0
NOGO,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA
NOHA,0,0,0,0,0,0,0,0,0,0,0,0
NOPI,0,0,0,0,0,0,0,0,0,0,0,0
NOWA,122,25,95,53,66,164,105,117,150,93,209,191
NRWS,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NSHO,0,0,0,0,0,0,0,0,0,0,0,0
NSHR,0,1,NA,NA,0,NA,0,NA,NA,NA,NA,1
OCWA,196,264,138,159,58,280,73,124,158,59,90,247
OSFL,1,2,0,1,0,3,0,2,0,0,1,0
OSPR,0,NA,0,0,0,NA,0,NA,NA,0,NA,NA
OVEN,NA,NA,0,NA,NA,1,1,NA,2,NA,1,0
PEEP,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEFA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0
PEPL,0,0,NA,NA,0,0,0,0,NA,0,NA,0
PESA,0,0,0,0,NA,0,0,0,NA,NA,NA,NA
PIGR,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA
PISI,0,2,0,0,0,2,17,2,0,0,0,0
PIWO,0,0,0,NA,0,0,0,0,0,NA,0,0
PUFI,1,7,2,9,9,3,0,5,8,27,3,7
RBGR,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,0
RBME,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RBNU,0,0,NA,0,0,0,0,0,0,0,0,0
RCKI,37,63,0,38,40,94,72,33,67,2,60,150
RECR,0,0,0,0,0,0,NA,0,NA,0,0,NA
REVI,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLHA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA
RNDU,0,0,0,0,0,0,0,0,0,0,0,0
RNGR,NA,NA,NA,NA,0,NA,0,0,NA,0,0,0
RNPH,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
RTHA,0,0,0,0,0,0,0,0,0,0,0,0
RTLO,NA,0,NA,NA,0,0,NA,NA,0,0,NA,0
RUBL,4,20,1,1,49,77,8,6,40,4,6,0
RUGR,0,0,0,0,0,0,0,0,0,0,0,0
RWBL,2,0,0,1,10,1,0,0,1,4,5,2
SACR,0,0,0,0,0,NA,0,0,0,0,0,0
SAPH,0,0,0,NA,1,4,1,NA,NA,NA,0,NA
SAVS,45,32,22,38,85,39,59,5,54,18,32,66
SBDO,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPL,0,0,0,NA,0,0,0,0,0,0,0,0
SESA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA
SHOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
SMLO,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
SNBU,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNGO,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA
SORA,0,0,NA,0,0,1,0,0,0,NA,0,0
SOSA,7,1,1,2,0,4,1,4,2,2,0,0
SPGR,0,0,0,0,0,0,0,0,0,0,0,0
SPSA,1,NA,0,0,0,2,0,0,0,0,0,0
SSHA,0,0,0,0,0,1,2,1,1,2,1,1
SWSP,4,3,0,4,6,6,3,5,6,4,3,5
SWTH,46,15,13,25,34,56,39,21,26,20,26,28
TEWA,19,16,7,23,23,75,14,47,50,47,38,11
TOSO,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOWA,0,3,0,0,0,0,0,0,0,NA,0,0
TRES,0,4,2,4,4,4,6,9,2,2,20,2
TRUS,0,0,0,0,0,0,0,0,0,0,0,0
TTWO,1,0,0,0,0,0,1,0,0,3,0,0
TUSW,0,0,0,0,0,0,0,0,0,0,0,0
UNBL,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
UNBO,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA
UNDA,NA,0,NA,NA,0,0,0,0,0,NA,0,0
UNDD,NA,0,NA,0,0,0,0,0,0,NA,0,NA
UNDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
UNDU,NA,0,NA,0,0,0,0,0,0,NA,0,NA
UNFA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
UNGE,NA,0,0,0,NA,0,0,0,0,0,0,0
UNGO,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
UNGU,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,0
UNPA,NA,0,NA,NA,0,NA,0,0,0,NA,NA,NA
UNRA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
UNSC,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNSG,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,0
UNSH,0,0,NA,NA,0,0,0,0,NA,0,NA,0
UNSL,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA
UNSP,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA
UNSW,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
UNVI,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
UNWA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
UNWO,0,0,NA,NA,0,0,0,0,0,NA,NA,0
UNYE,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA
UPSA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA
USCA,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA
VATH,0,0,0,1,4,10,4,2,13,1,3,5
VESP,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VGSW,0,0,0,1,0,0,0,12,0,0,1,0
WATA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAVI,4,2,3,2,4,1,4,3,15,4,3,8
WCSP,44,49,16,127,55,258,349,6,176,286,101,324
WETA,0,0,3,1,1,1,0,1,3,2,2,1
WEWP,0,2,0,2,1,0,0,4,0,0,1,1
WHIM,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA
WISN,1,0,1,0,0,1,0,0,0,2,0,0
WIWA,222,120,154,179,112,242,217,273,258,80,332,375
WTSP,12,10,4,12,15,10,34,8,18,11,29,17
WWCR,0,0,0,0,0,0,NA,6,0,0,0,0
YBFL,1,NA,NA,0,0,0,NA,NA,0,NA,0,0
YBSA,14,8,6,5,8,14,3,18,16,11,3,4
YEWA,148,145,58,49,300,468,20,225,54,20,188,389
YHBL,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0
YRWA,56,286,332,516,179,555,62,148,173,97,146,123
YWAR,148,145,58,49,300,468,20,225,54,20,188,389
NA,NA,0,0,NA,0,0,0,0,NA,NA,NA,0
